date,turnover
2025-01-02,0.0
2025-01-03,0.015007762484357146
2025-01-06,0.0173148518453079
2025-01-07,0.0010813691750036492
2025-01-08,0.0075691240147141015
2025-01-10,2.443735229035182e-06
2025-01-13,0.0038032047870587282
2025-01-14,0.005103128659557171
2025-01-15,0.004738504234607754
2025-01-16,0.015391361951597793
2025-01-17,0.008116070903989497
2025-01-21,0.005170831910166623
2025-01-22,0.003750421572463636
2025-01-23,0.0067911514242748605
2025-01-24,0.0030490631008201763
2025-01-27,0.002847180834423757
2025-01-28,0.0023370552136034173
2025-01-29,0.0015710380840112947
2025-01-30,0.004635866289446677
2025-01-31,0.005889451841635612
2025-02-03,0.004109644397119472
2025-02-04,0.011592718196290624
2025-02-05,0.003912173128988977
2025-02-06,0.010153042163946219
2025-02-07,0.0034676295626180076
2025-02-10,0.006381922724449207
2025-02-11,0.009372653662585023
2025-02-12,0.016455885863041808
2025-02-13,0.007013270745854061
2025-02-14,0.011790161612247496
2025-02-18,5.895962647742281e-05
2025-02-19,0.0019793288278182886
2025-02-20,0.004013965428585287
2025-02-21,0.00330659836193975
2025-02-24,0.007727886902224423
2025-02-25,0.004346331815139187
2025-02-26,0.020411212097748127
2025-02-27,0.010262155742576745
2025-02-28,0.0037477902389789486
2025-03-03,0.0058673466214284875
2025-03-04,0.0028289931843271388
2025-03-05,0.008395044383299965
2025-03-06,0.003816549339070413
2025-03-07,0.009979041646379694
2025-03-10,0.0021687401192651556
2025-03-11,0.03400832861905659
2025-03-12,0.011779781943055762
2025-03-13,0.0176803339508996
2025-03-14,0.004272815114896467
2025-03-17,0.004468947861014788
2025-03-18,0.014145608438949603
2025-03-19,0.01100904488409854
2025-03-20,0.008991186781928312
2025-03-21,0.0011691859648240988
2025-03-24,0.01320825504226042
2025-03-25,0.02496592933819064
2025-03-26,0.00823462427166563
2025-03-27,0.011365272358076217
2025-03-28,0.001678234050838917
2025-03-31,0.003885104121433225
2025-04-01,0.005923572726587917
2025-04-02,0.00834207475739579
2025-04-03,0.011778605614544163
2025-04-04,0.00146303968214187
2025-04-07,0.012421359057751574
2025-04-08,0.006100667117412167
2025-04-09,0.008654563525501813
2025-04-10,0.027592114604740675
2025-04-11,0.007726312615220443
2025-04-14,0.004558911207704047
2025-04-15,0.0024067293255614353
2025-04-16,0.002489045848097171
2025-04-17,0.007103187337776096
2025-04-21,0.0005517038248659678
2025-04-22,0.008813656984978019
2025-04-23,0.004943413619425324
2025-04-24,0.009503806551749816
2025-04-25,0.0034614824197461425
2025-04-28,0.022620122306212187
2025-04-29,0.0007323402001088997
2025-04-30,0.003835626938766684
2025-05-01,0.008736439216806474
2025-05-02,0.0032632775114518897
2025-05-05,0.002253219133933837
2025-05-06,0.004735322581527923
2025-05-07,0.002352472824571794
2025-05-08,0.00026487130561209105
2025-05-09,0.006080924614706246
2025-05-12,0.01225009683819303
2025-05-13,0.0084282038937947
2025-05-14,0.010713036462527609
2025-05-15,0.009963105155229857
2025-05-16,0.004786636345254919
2025-05-19,0.0036690706179728916
2025-05-20,0.006025551749256314
2025-05-21,0.0021454412519360255
2025-05-22,0.0025663671971183355
2025-05-23,0.00476309553742954
2025-05-27,0.0004712510735612463
2025-05-28,0.012023202454297416
2025-05-29,0.0027465073381521543
2025-05-30,8.601060107465974e-05
2025-06-02,0.008256724481322364
2025-06-03,0.004186131440609808
2025-06-04,0.00027614931665828624
2025-06-05,0.00900761058107849
2025-06-06,0.03594604462723697
2025-06-09,0.006619375382750203
2025-06-10,0.011265079666653605
2025-06-11,0.01281691446338959
2025-06-12,0.000992609730613464
2025-06-13,0.006712635244651599
2025-06-16,0.007835266388392631
2025-06-17,0.0005610986172673027
2025-06-18,0.007802930619114329
2025-06-20,0.004608202310169535
2025-06-23,0.0006853995637153831
2025-06-24,0.018047270109711244
2025-06-25,0.008745167012501137
2025-06-26,0.009843185847311892
2025-06-27,0.0033440274344192777
2025-06-30,0.0029320531801302896
2025-07-01,0.005898880224519065
2025-07-02,0.013598379745565964
2025-07-03,0.011352698844310949
2025-07-07,0.00223115869801499
2025-07-08,0.01562688257068301
2025-07-09,0.003481934200787712
2025-07-10,0.003159736023537918
2025-07-11,0.011200156762002922
2025-07-14,0.0038857548993928293
2025-07-15,0.0022570729338141915
2025-07-16,0.003849250581552416
2025-07-17,0.007995657044244597
2025-07-18,0.0033288911841146407
2025-07-21,0.008303790697008512
2025-07-22,0.001375488015491949
2025-07-23,0.0027609832412081037
2025-07-24,0.0018053277337250484
2025-07-25,0.0211816826849828
2025-07-28,0.007818597287414769
2025-07-29,0.007698158700420371
2025-07-30,0.00276967489510338
2025-07-31,0.0013926711436759442
2025-08-01,0.007693564691088173
2025-08-04,0.0004926805957810587
2025-08-05,0.0016785728659703125
2025-08-06,0.0008490889192203921
2025-08-07,0.00718350957136607
2025-08-08,0.0020880451617960316
2025-08-11,0.0038021437146306403
2025-08-12,0.007718559613569015
2025-08-13,0.0013363880678146367
2025-08-14,0.0019552656548542935
2025-08-15,0.002875461929156331
2025-08-18,0.0032221680791965635
2025-08-19,0.003587108470129524
2025-08-20,0.003081097964343721
2025-08-21,0.0035184332308594857
2025-08-22,0.001965453450186616
2025-08-25,0.011642726501897377
2025-08-26,0.00605276601874713
2025-08-27,0.0026397867220913362
2025-08-28,0.002073979906657669
2025-08-29,0.003528415332860163
2025-09-02,0.007460937273612606
2025-09-03,0.0015636725480442926
2025-09-04,0.0022585055773640117
2025-09-05,0.0012429258768056894
2025-09-08,0.009953534523164997
2025-09-09,0.0038420216947054053
