date,strategy_return,benchmark_return,strategy_cum,benchmark_cum
2025-01-02,-0.011181043929199304,-0.0013073610050562622,0.9888189560708007,0.9986926389949438
2025-01-03,0.022915690354251776,0.00700162842954466,1.0114784250845337,1.0056851137685077
2025-01-06,0.00512154634963699,0.00306659295731988,1.016658758720262,1.0087691406556716
2025-01-07,-0.015684003934590234,-0.008175614754192062,1.0007134787483578,1.0005218327857535
2025-01-08,0.0014625952880575842,0.0013240421946532077,1.0021771175670708,1.0018465659090336
2025-01-10,-0.013060849403763649,-0.011227177456605132,0.9890878331586295,0.9905986567292825
2025-01-13,0.004564207936880864,0.0005371381592653712,0.9936022356970043,0.9911307450683288
2025-01-14,-0.0014058701363094117,0.00110664686868307,0.9922053599864676,0.9922275768038142
2025-01-15,0.027487109184782775,0.014115421331015909,1.0194782170501424,1.006233287106653
2025-01-16,-0.006662654899126196,-0.0003737965297076372,1.012685785512761,1.0058571605958564
2025-01-17,0.013119575336492752,0.006135058978302066,1.025971792967991,1.0120281535998594
2025-01-21,0.0069334625276863794,0.006659668543427877,1.033085329948998,1.018767925659452
2025-01-22,0.0016225349634466655,0.002541273189907489,1.034761547017064,1.021356893275668
2025-01-23,0.003658972645843788,0.002663865415843647,1.0385477112125703,1.0240776505808986
2025-01-24,-0.0045854622001093625,-0.0009727883782379987,1.033785489939795,1.0230814397440002
2025-01-27,-0.0154978598509439,-0.0063772595057864255,1.0177640273007686,1.0165569839071993
2025-01-28,0.0076617705463001475,0.004934578483048301,1.0255619017482256,1.0215732641267803
2025-01-29,-0.007188722737366162,-0.0029108719119657956,1.0181894215865517,1.0185995952062183
2025-01-30,0.00886001571536842,0.003773252555659434,1.0272105958630304,1.0224430287320239
2025-01-31,-0.0029129960128306313,-0.003745439003963713,1.024218335492944,1.01861353073288
2025-02-03,-0.013452959395790744,-0.0036770113832746754,1.010439567813133,1.0148680771852177
2025-02-04,0.009028902878969522,0.004579186876016594,1.0195627285359858,1.0195153477651524
2025-02-05,-0.0019029020958356187,0.0044806651194190476,1.017622600483019,1.024083454622596
2025-02-06,0.0014341688141328345,0.001644786705252077,1.0190820430811884,1.025767853473828
2025-02-07,-0.012857089294561851,-0.006704938232887048,1.005979614254809,1.0188901433750048
2025-02-10,0.0012741538904817887,0.004185403161358803,1.007261387094057,1.023154609402164
2025-02-11,-0.008828125446956247,-0.00020708023655346969,0.9983691572109156,1.0229427343036182
2025-02-12,0.0009051198469522189,-0.003981704534365771,0.9992728009496922,1.0188696785800448
2025-02-13,0.017610770401815516,0.008727783432472913,1.0168707648159963,1.0277621524806047
2025-02-14,-8.377802410583607e-05,0.001243011331126498,1.016785573392549,1.0290396724818411
2025-02-18,0.0017702005664468274,0.0002725053493005002,1.0185854877905236,1.029320091297235
2025-02-19,0.004725784922487908,0.001966488928568877,1.023399103730989,1.0313442378607245
2025-02-20,-0.0060923668225467366,-0.0019986844357334776,1.0171641809851943,1.029282906184629
2025-02-21,-0.021549329742610895,-0.008495789939715446,0.9952449746467716,1.0205383348251444
2025-02-24,-0.007087463120148656,-0.0021806318226397226,0.9881912125934494,1.018312916456001
2025-02-25,-0.016771315212882422,-0.0004588351365637065,0.9716179462764442,1.0178456787099142
2025-02-26,-0.005494964448312777,0.0009029274945094645,0.9662789402043124,1.0187647195583889
2025-02-27,-0.01812519893422452,-0.010067312529016492,0.9487649421871576,1.0085084967330586
2025-02-28,0.019120696630257023,0.011053779876302893,0.9669059888201416,1.019656327659327
2025-03-03,-0.019151127664471652,-0.00959139216582483,0.9483886487887048,1.0098764039463815
2025-03-04,-0.016689746953067446,-0.008243269703469712,0.9325602822272597,1.0015517203814814
2025-03-05,0.013020657817135808,0.005031788466058895,0.9447028305559926,1.0065913167762583
2025-03-06,-0.023479920319598488,-0.01097878614970682,0.9225212833688388,0.99554016596922
2025-03-07,0.004324430207135264,0.0029249579324495123,0.9265106622733641,0.9984520790747438
2025-03-10,-0.04571455087463831,-0.014118349064354717,0.8841556434669736,0.9843555840983358
2025-03-11,-0.001397333878129269,-0.006514809115653564,0.882920182832818,0.9779426953660074
2025-03-12,0.015865411286065147,0.002362731436829524,0.8969280746662286,0.9802533113157664
2025-03-13,-0.01580279373996384,-0.006791329684703862,0.8827541053026953,0.9735960879040985
2025-03-14,0.023344338368929202,0.011408804968418272,0.9033614158334426,0.9847036557890113
2025-03-17,-0.0005994770517592261,0.005175359891021669,0.9028198713952058,0.9897998515937241
2025-03-18,-0.017169422325456,-0.006047070365711483,0.8873189757394077,0.983814462243166
2025-03-19,0.016262566563464774,0.007737758782379612,0.9017490596453952,0.9914269812386203
2025-03-20,-0.0022060461805910713,-0.0015715268306897288,0.8997597595765129,0.9898689271369341
2025-03-21,0.008158260414813923,-0.00012905906558904336,0.9071002340059083,0.9897411755781422
2025-03-24,0.03307089261210599,0.008999293899060934,0.9370988484331338,0.9986481473011719
2025-03-25,0.007280006894905769,0.0019354512488019004,0.9439209345109353,1.0005809821049796
2025-03-26,-0.0184960062712177,-0.008038435340077976,0.9264621669866874,0.992537876577817
2025-03-27,-0.0016708167279767278,-0.0017580471853024138,0.9249142185002485,0.9907929481575933
2025-03-28,-0.02237115441885326,-0.009778494733858922,0.9042228196939864,0.9811044845316897
2025-03-31,0.003219193227417207,0.004736976673427096,0.9071336876712215,0.985751953589111
2025-04-01,0.0077667331080193925,0.0029512506233657643,0.9141791529166572,0.988661154656625
2025-04-02,0.013345278866792293,0.0034702180776987387,0.9263791286465379,0.9920920244682329
