model,MAE,RMSE,MAPE_pct
ARIMA,0.029117221690660777,0.039647470259492244,117.83344414733034
ARIMA_calibrated,0.029184454824907197,0.039688876465617175,133.3726373023041
LSTM_multivariate,0.03638681980477112,0.046429489196262344,596.8526640396713
LSTM_multivariate_calibrated,0.03798940784624975,0.047975337902629984,659.4458419370795
