asset,w_min_vol,w_max_sharpe,w_recommended
BND,0.9428654274683076,0.0,0.0
SPY,0.05713457253169254,0.8505094637659965,0.8505094637659965
TSLA,0.0,0.14949053623400368,0.14949053623400368
