date,p0,y_true_price,y_pred_price
2025-01-02,253.17999267578125,273.9801657823619,251.22576698807904
2025-01-03,253.17999267578125,274.38734802949716,249.43058335652074
2025-01-06,253.17999267578125,263.24630509073245,247.69903754996164
2025-01-07,253.17999267578125,263.63348269842476,245.70750035513424
2025-01-08,253.17999267578125,263.4999689680876,243.27085055407497
2025-01-10,253.17999267578125,269.22068805738763,240.29249385566823
2025-01-13,253.17999267578125,264.58136084254113,236.75066830949163
2025-01-14,253.17999267578125,285.84881200636306,232.67417484038907
2025-01-15,253.17999267578125,276.23641420512666,228.10689253065468
2025-01-16,253.17999267578125,284.70066372746055,223.08632750320663
2025-01-17,253.17999267578125,283.07857567461616,217.75669553584902
2025-01-21,253.17999267578125,277.0975109777154,212.17143111365232
2025-01-22,253.17999267578125,275.2751727285484,206.44374972097964
2025-01-23,253.17999267578125,271.4034985292762,200.62902571126483
2025-01-24,253.17999267578125,265.10871512055706,194.7776596920378
2025-01-27,253.17999267578125,265.73619299552905,188.95115354427227
2025-01-28,253.17999267578125,259.7351235102562,183.2159559672695
2025-01-29,253.17999267578125,267.1980807407972,177.59015501968906
2025-01-30,253.17999267578125,270.0818063999252,172.127712532526
2025-01-31,253.17999267578125,256.11711278922473,166.8271544968393
2025-02-03,253.17999267578125,261.8111250420607,161.68981818738897
2025-02-04,253.17999267578125,252.43904768355867,156.79519945992357
2025-02-05,253.17999267578125,249.86906098040637,152.06137793813323
2025-02-06,253.17999267578125,241.3914480714233,147.49900127174743
2025-02-07,253.17999267578125,234.12207932792748,143.11836427243358
2025-02-10,253.17999267578125,219.28292616621835,138.90019876632294
2025-02-11,253.17999267578125,224.62983144579997,134.8628533472819
2025-02-12,253.17999267578125,237.59989393360675,131.05065891515213
2025-02-13,253.17999267578125,237.53313706893732,127.42946627372208
2025-02-14,253.17999267578125,236.37830646595233,123.9495164465281
2025-02-18,253.17999267578125,240.68386987621287,120.56346277052512
2025-02-19,253.17999267578125,236.5718953111731,117.24108287783082
2025-02-20,253.17999267578125,225.49092781588877,113.98794250729948
2025-02-21,253.17999267578125,220.63800718059935,110.78689065335212
2025-02-24,253.17999267578125,202.12744964156127,107.67622310640706
2025-02-25,253.17999267578125,194.11711433214745,104.66448034127114
2025-02-26,253.17999267578125,188.20950849140905,101.81675617639505
2025-02-27,253.17999267578125,195.57234083494575,99.11460551880663
2025-02-28,253.17999267578125,190.0118217125124,96.56088590509914
2025-03-03,253.17999267578125,181.59430459296252,94.14823889867161
2025-03-04,253.17999267578125,186.3070503095345,91.83775703123034
2025-03-05,253.17999267578125,175.8602421296258,89.64332613508027
2025-03-06,253.17999267578125,175.33957116776537,87.53572154335858
2025-03-07,253.17999267578125,148.29132699623528,85.50347824388044
2025-03-10,253.17999267578125,153.91859280218858,83.5460283887007
2025-03-11,253.17999267578125,165.60700283342126,81.7231528191844
2025-03-12,253.17999267578125,160.6606183836845,80.0425687623622
2025-03-13,253.17999267578125,166.8686302655373,78.44897187822556
2025-03-14,253.17999267578125,158.878320059444,76.89865696445553
2025-03-17,253.17999267578125,150.40071724462,75.36970510270127
2025-03-18,253.17999267578125,157.44313898640246,73.86461685186858
2025-03-19,253.17999267578125,157.71014608303793,72.39631848285606
2025-03-20,253.17999267578125,166.02087728714758,70.95957697839125
2025-03-21,253.17999267578125,185.83311129830867,69.54348836408063
2025-03-24,253.17999267578125,192.34150864785622,68.16310815150172
2025-03-25,253.17999267578125,181.60764773643157,66.81865163964329
2025-03-26,253.17999267578125,182.3219075207755,65.490327052441
2025-03-27,253.17999267578125,175.92697863851507,64.18518617290913
2025-03-28,253.17999267578125,172.99654144656208,62.91276438553911
2025-03-31,253.17999267578125,179.2045427930315,61.66070791271229
2025-04-01,253.17999267578125,188.75020442386023,60.44845928112581
2025-04-02,253.17999267578125,178.41686438839494,59.2683755409614
2025-04-03,253.17999267578125,159.82620754836174,58.14667465300345
2025-04-04,253.17999267578125,155.7275865580065,57.051025618081034
2025-04-07,253.17999267578125,148.0977473930357,56.010642066354656
2025-04-08,253.17999267578125,181.701112521793,55.03952066102599
2025-04-09,253.17999267578125,168.48404726467064,54.12414663262712
2025-04-10,253.17999267578125,168.42397219570935,53.27182440369365
2025-04-11,253.17999267578125,168.4506790169187,52.44765594637421
2025-04-14,253.17999267578125,169.62552448851275,51.63325040722425
2025-04-15,253.17999267578125,161.24137504064205,50.80980792067677
2025-04-16,253.17999267578125,161.12121471433565,49.9700032529724
2025-04-17,253.17999267578125,151.86260563668023,49.1362469292514
2025-04-21,253.17999267578125,158.851623677304,48.30348685936414
2025-04-22,253.17999267578125,167.37595828595147,47.49141620191517
2025-04-23,253.17999267578125,173.23018111133797,46.70176577283817
2025-04-24,253.17999267578125,190.21209372558232,45.930181872261116
2025-04-25,253.17999267578125,190.83288982539247,45.16100916651951
2025-04-28,253.17999267578125,194.9381826348113,44.414144863301225
2025-04-29,253.17999267578125,188.3496848490392,43.67733696635152
2025-04-30,253.17999267578125,187.25492928703295,42.942241507339425
2025-05-01,253.17999267578125,191.72069283594675,42.22031584988762
2025-05-02,253.17999267578125,187.08138583665186,41.49908758693111
2025-05-05,253.17999267578125,183.80382128342282,40.782413247259186
2025-05-06,253.17999267578125,184.38456731187514,40.06716300398164
2025-05-07,253.17999267578125,190.12531180369373,39.355762960450434
2025-05-08,253.17999267578125,199.09688872775993,38.64951063239701
2025-05-09,253.17999267578125,212.52754679816513,37.949305970104334
2025-05-12,253.17999267578125,223.00106147972008,37.26093884411094
