date,y_true,lstm_pred
2025-01-02,0.07895504683256149,-0.007748664356768131
2025-01-03,0.00148507091216743,-0.007171351462602615
2025-01-06,-0.04145067185163498,-0.006966202519834042
2025-01-07,0.0014697002479806542,-0.008072645403444767
2025-01-08,-0.0005065652076154947,-0.009966371580958366
2025-01-10,0.02147819474339485,-0.01231852825731039
2025-01-13,-0.017382638528943062,-0.014849350787699223
2025-01-14,0.07731423527002335,-0.01736847124993801
2025-01-15,-0.03420596942305565,-0.019824737682938576
2025-01-16,0.03018125332891941,-0.022255530580878258
2025-01-17,-0.005713813938200474,-0.024180451408028603
2025-01-21,-0.02135504223406315,-0.02598377875983715
2025-01-22,-0.006598243955522776,-0.027366608381271362
2025-01-23,-0.01416458748281002,-0.028570417314767838
2025-01-24,-0.023466650396585464,-0.029598858207464218
2025-01-27,0.0023640734143555164,-0.030370166525244713
2025-01-28,-0.02284170500934124,-0.030822990462183952
2025-01-29,0.028327902778983116,-0.0311871487647295
2025-01-30,0.01073464099317789,-0.031241679564118385
2025-01-31,-0.053090088069438934,-0.03127844259142876
2025-02-03,0.021988535299897194,-0.03127847611904144
2025-02-04,-0.036453522741794586,-0.030739305540919304
2025-02-05,-0.01023279968649149,-0.030656250193715096
2025-02-06,-0.03451714292168617,-0.03046283684670925
2025-02-07,-0.030577195808291435,-0.030149394646286964
2025-02-10,-0.06547988951206207,-0.02991632930934429
2025-02-11,0.02409105747938156,-0.02949731983244419
2025-02-12,0.056134287267923355,-0.028674403205513954
2025-02-13,-0.00028100283816456795,-0.0280209518969059
2025-02-14,-0.004873623140156269,-0.0276886485517025
2025-02-18,0.018050814047455788,-0.027698080986738205
2025-02-19,-0.017232170328497887,-0.027943924069404602
2025-02-20,-0.04797223210334778,-0.02813967689871788
2025-02-21,-0.021756544709205627,-0.028484223410487175
2025-02-24,-0.0876249447464943,-0.02847966179251671
2025-02-25,-0.04043677821755409,-0.028368981555104256
2025-02-26,-0.030905909836292267,-0.027585119009017944
2025-02-27,0.03837459161877632,-0.02689787745475769
2025-02-28,-0.02884405106306076,-0.026103060692548752
2025-03-03,-0.04531118646264076,-0.025303201749920845
2025-03-04,0.025621017441153526,-0.024847039952874184
2025-03-05,-0.05770651996135712,-0.024184755980968475
2025-03-06,-0.0029651003424078226,-0.02379179745912552
2025-03-07,-0.16754573583602905,-0.023489899933338165
2025-03-10,0.03724507987499237,-0.023159338161349297
2025-03-11,0.07319368422031403,-0.022060368210077286
2025-03-12,-0.030323348939418793,-0.020778747275471687
2025-03-13,0.037912677973508835,-0.020110229030251503
2025-03-14,-0.049068231135606766,-0.019959961995482445
2025-03-17,-0.054835446178913116,-0.020083006471395493
2025-03-18,0.045761190354824066,-0.02017148956656456
2025-03-19,0.0016944590024650097,-0.020078467205166817
2025-03-20,0.05135471746325493,-0.020045071840286255
2025-03-21,0.11273547261953354,-0.020158087834715843
2025-03-24,0.03442346304655075,-0.020048806443810463
2025-03-25,-0.0574239045381546,-0.01992122456431389
2025-03-26,0.00392526900395751,-0.020079804584383965
2025-03-27,-0.0357048325240612,-0.020130014047026634
2025-03-28,-0.016797412186861038,-0.020023364573717117
2025-03-31,0.03525624796748161,-0.02010217122733593
2025-04-01,0.05189662054181099,-0.019855814054608345
2025-04-02,-0.056301724165678024,-0.019715221598744392
2025-04-03,-0.1100357249379158,-0.01910717599093914
2025-04-04,-0.025978781282901764,-0.019022637978196144
2025-04-07,-0.05023572966456413,-0.018404344096779823
2025-04-08,0.20449058711528778,-0.017490224912762642
2025-04-09,-0.0755220279097557,-0.016771065071225166
2025-04-10,-0.00035662594018504024,-0.015872851014137268
2025-04-11,0.0001585564314154908,-0.01559192594140768
2025-04-14,0.006950209382921457,-0.015649789944291115
2025-04-15,-0.05069074407219887,-0.016076447442173958
2025-04-16,-0.0007454979931935668,-0.016666514798998833
2025-04-17,-0.059180766344070435,-0.016825901344418526
2025-04-21,0.044994380325078964,-0.017093239352107048
2025-04-22,0.052271947264671326,-0.01695476658642292
2025-04-23,0.03437870740890503,-0.01676700823009014
2025-04-24,0.09351849555969238,-0.016659516841173172
2025-04-25,0.0032583903521299362,-0.016888372600078583
2025-04-28,0.021284373477101326,-0.01667608879506588
2025-04-29,-0.03438223525881767,-0.016728634014725685
2025-04-30,-0.005829314235597849,-0.01697337068617344
2025-05-01,0.023568641394376755,-0.016954468563199043
2025-05-02,-0.024495847523212433,-0.0172300823032856
2025-05-05,-0.01767474040389061,-0.01742050051689148
2025-05-06,0.003154616104438901,-0.017693819478154182
2025-05-07,0.03065977431833744,-0.017914703115820885
2025-05-08,0.0461081936955452,-0.0181083045899868
2025-05-09,0.06528002768754959,-0.018282897770404816
2025-05-12,0.048104919493198395,-0.01830565370619297
2025-05-13,0.039931923151016235,-0.018590962514281273
2025-05-14,-0.014076946303248405,-0.018630651757121086
2025-05-15,0.020670492202043533,-0.01873117871582508
2025-05-16,-0.022802190855145454,-0.019014421850442886
2025-05-19,0.005044436082243919,-0.019281215965747833
2025-05-20,-0.0271227415651083,-0.019448289647698402
2025-05-21,0.019004251807928085,-0.019356826320290565
2025-05-22,-0.004997253883630037,-0.01934480480849743
2025-05-23,0.0670972540974617,-0.01921827904880047
2025-05-27,-0.016644185408949852,-0.01919618993997574
2025-05-28,0.004277748987078667,-0.019064823165535927
2025-05-29,-0.03396601602435112,-0.019260460510849953
2025-05-30,-0.010941091924905777,-0.019551264122128487
2025-06-02,0.004599945619702339,-0.019451001659035683
2025-06-03,-0.03614067658782005,-0.019396260380744934
