date,y_true,arima_pred
2025-01-02,-0.06274403546918705,-0.033050210119163204
2025-01-03,0.07895504556688593,0.0013947154892749228
2025-01-06,0.0014850709586751165,0.0014203454391572348
2025-01-07,-0.04145067133894553,0.0014203483188510886
2025-01-08,0.0014697002488741617,0.0014021418423157477
2025-01-10,-0.0005065652243017027,0.0014023707142060214
2025-01-13,0.021478195369560638,0.001402286709591674
2025-01-14,-0.017382638722844845,0.0014103406602964971
2025-01-15,0.07731423282838357,0.0014094705176371529
2025-01-16,-0.03420597069137621,0.0014334962057595947
2025-01-17,0.03018125256143467,0.001419034397435498
2025-01-21,-0.005713813715474636,0.0014311849849877754
2025-01-22,-0.02135504315494341,0.0014307871035398852
2025-01-23,-0.006598243859181174,0.0014205192804196748
2025-01-24,-0.014164587635274728,0.0014199653196473793
2025-01-27,-0.0234666508560073,0.0014134856847540086
2025-01-28,0.002364073463969163,0.0014021647217903224
2025-01-29,-0.022841705498074738,0.0014021082357073707
2025-01-30,0.02832790349588521,0.001391325570276509
2025-01-31,0.010734640646321125,0.0014006891788361157
2025-02-03,-0.053090087069198155,0.010734640646321125
2025-02-04,0.0219885360961527,0.001384798982276813
2025-02-05,-0.036453523370123975,0.0013905191282454438
2025-02-06,-0.010232799351092225,0.0013785481803599193
2025-02-07,-0.03451714290429031,0.0013764192566217844
2025-02-10,-0.030577195209389174,0.0013550997984756409
2025-02-11,-0.06547989008634669,0.001350082303060223
2025-02-12,0.02409105742088702,0.001322817282012647
2025-02-13,0.05613428883532556,0.001323596654405993
2025-02-14,-0.0002810028501647466,0.00134597318805814
2025-02-18,-0.004873623368530033,0.0013464179631674851
2025-02-19,0.01805081364905803,0.0013461833883327877
2025-02-20,-0.017232170102425393,0.0013511079812536292
2025-02-21,-0.04797223327197653,0.0013502694804723066
2025-02-24,-0.0217565451995112,0.00132604328154078
2025-02-25,-0.08762494178787694,0.0013221752371290842
2025-02-26,-0.04043677756749897,0.0012853716481019616
2025-02-27,-0.030905910133740555,0.001267695828893464
2025-02-28,0.03837459125197107,0.0012488602399621483
2025-03-03,-0.028844050845268754,0.0012643201181255935
2025-03-04,-0.04531118823694236,-0.028844050845268754
2025-03-05,0.02562101669286676,0.0012353211560789436
2025-03-06,-0.057706519420258395,0.0012432050460329364
2025-03-07,-0.0029651004058361963,0.0012261434362582882
2025-03-10,-0.16754574067757666,0.001221533241869609
2025-03-11,0.03724507983872183,0.001154434662281958
2025-03-12,0.07319368705023788,0.0011685315848111535
2025-03-13,-0.03032334887533228,0.0011936766746890035
2025-03-14,0.03791267765006978,0.0011842401711128422
2025-03-17,-0.04906823105489977,0.0011977315125615492
2025-03-18,-0.054835445634435764,0.0011791205719585628
2025-03-19,0.04576119036806592,0.0011576007180181594
2025-03-20,0.0016944590202747634,0.0011712445832374972
2025-03-21,0.051354715813141105,0.0011712697168007311
2025-03-24,0.11273547481030466,0.0011927876426588127
2025-03-25,0.03442346307792743,0.0012357313759410206
2025-03-26,-0.057423902739738075,0.0012492839007163018
2025-03-27,0.003925268964187545,0.0012315800985702046
2025-03-28,-0.03570483321218276,0.0012291696895337253
2025-03-31,-0.016797411271063822,0.0012121876572929117
2025-04-01,0.03525624951763984,-0.016797411271063822
2025-04-02,0.051896620609465316,0.001218350179114186
2025-04-03,-0.05630172235818165,0.0012386258211748466
2025-04-04,-0.11003572551557195,0.0012217310764626134
2025-04-07,-0.025978781902311177,0.0011775243244948992
2025-04-08,-0.050235731001905926,0.0011601455313905976
2025-04-09,0.20449058000160125,0.0011449036176379166
2025-04-10,-0.0755220285780398,0.0012209236820484666
2025-04-11,-0.00035662594507002154,0.0011952354425009306
2025-04-14,0.00015855643290674237,0.001193816804181936
2025-04-15,0.006950209565496301,0.0011917227927707764
2025-04-16,-0.050690742903996444,0.0011917297905611468
2025-04-17,-0.0007454979855454624,0.0011733906019609638
2025-04-21,-0.05918076725792787,0.001172659393967973
2025-04-22,0.04499438204493078,0.0011516438107509967
2025-04-23,0.052271947159752585,0.0011644104179849642
2025-04-24,0.03437870754426342,0.0011819818152893774
2025-04-25,0.09351849398026069,0.0011978685860431248
2025-04-28,0.003258390311502879,0.0012336606830387754
2025-04-29,0.02128437310516862,0.0012337571235060626
2025-04-30,-0.034382233630247505,0.02128437310516862
2025-05-01,-0.005829314402079788,0.001227752759333711
2025-05-02,0.0235686412533731,0.0012274957667380883
2025-05-05,-0.024495847170982188,0.0012343339706758455
2025-05-06,-0.017674740712066317,0.0012328446276277413
2025-05-07,0.0031546161942159756,0.001216769638571713
2025-05-08,0.03065977343743853,0.0012168610727617318
2025-05-09,0.046108194570086525,0.0012291002283933178
2025-05-12,0.0652800311867976,0.001245462730492205
2025-05-13,0.04810492051681159,0.0012718815308743452
2025-05-14,0.039931921661911396,0.0012886664634488745
2025-05-15,-0.014076945998612977,0.001305971571868185
2025-05-16,0.020670491941373825,0.0013043192557270183
2025-05-19,-0.022802191752631984,0.0013063381481400538
2025-05-20,0.0050444362835557754,0.0013052518111293823
2025-05-21,-0.027122740878422036,0.0013021275608968447
2025-05-22,0.01900425247503179,0.0012909815550709376
2025-05-23,-0.0049972536895026565,0.0012914165934056465
2025-05-27,0.0670972545819799,0.0012918586658496028
2025-05-28,-0.016644185010272317,0.0013180809381175345
2025-05-29,0.0042777491260102,-0.016644185010272317
2025-05-30,-0.03396601533337407,0.0013141933925508431
2025-06-02,-0.01094109164907131,0.0013040040568001229
2025-06-03,0.004599945784019788,0.0013007835700953008
2025-06-04,-0.03614067809813459,0.001297881553886967
